job	input_path	pdf_path	mode	status	suppressed_naturals	removed_dynamics	removed_hairpins	final_barlines_added	cello_clef_changes_added	suppressed_tie_continuation_accidentals	normalized_dangling_ties	pdf_midi_fallbacks	error
take6:string_quartet_double_stops	data/take6/reductions/string_quartet_double_stops/spread_love.musicxml	data/take6/renders/string_quartet_double_stops_pdf/spread_love.pdf	clean	rendered	371	0	0	4	0	2	92	1	
take6:string_quartet_double_stops	data/take6/reductions/string_quartet_double_stops/gold_mine.musicxml	data/take6/renders/string_quartet_double_stops_pdf/gold_mine.pdf	clean	rendered	692	0	0	4	0	4	22	0	
take6:string_quartet_double_stops	data/take6/reductions/string_quartet_double_stops/a_quiet_place.musicxml	data/take6/renders/string_quartet_double_stops_pdf/a_quiet_place.pdf	clean	rendered	297	0	0	4	0	0	2	0	
take6:string_quartet_double_stops	data/take6/reductions/string_quartet_double_stops/he_never_sleeps.musicxml	data/take6/renders/string_quartet_double_stops_pdf/he_never_sleeps.pdf	clean	rendered	359	0	0	4	0	0	2	0	
take6:string_quartet_double_stops	data/take6/reductions/string_quartet_double_stops/david_et_goliath.musicxml	data/take6/renders/string_quartet_double_stops_pdf/david_et_goliath.pdf	clean	rendered	902	0	0	4	0	0	35	0	
take6:string_quartet_double_stops	data/take6/reductions/string_quartet_double_stops/get_away_jordan.musicxml	data/take6/renders/string_quartet_double_stops_pdf/get_away_jordan.pdf	clean	rendered	661	0	0	4	0	0	13	0	
take6:string_quartet_double_stops	data/take6/reductions/string_quartet_double_stops/if_we_ever.musicxml	data/take6/renders/string_quartet_double_stops_pdf/if_we_ever.pdf	clean	rendered	615	0	0	4	0	0	21	0	
take6:string_quartet_double_stops	data/take6/reductions/string_quartet_double_stops/hark_herald.musicxml	data/take6/renders/string_quartet_double_stops_pdf/hark_herald.pdf	clean	rendered	448	0	0	4	0	0	1	0	
take6:string_quartet_double_stops	data/take6/reductions/string_quartet_double_stops/i_m_on_my_way.musicxml	data/take6/renders/string_quartet_double_stops_pdf/i_m_on_my_way.pdf	clean	rendered	409	0	0	4	0	5	93	0	
take6:string_quartet_double_stops	data/take6/reductions/string_quartet_double_stops/come_unto_me.musicxml	data/take6/renders/string_quartet_double_stops_pdf/come_unto_me.pdf	clean	rendered	271	0	0	4	0	0	3	0	
